categoria,subcategoria,pergunta,resposta,fonte,dados
sinais_alarme,acúmulo de líquidos,O que significa acúmulo de líquidos como sinal de alarme?,ACÚMULO DE LÍQUIDOS: Derrame pleural ou ascite. Presente em 10.5% dos casos graves. Pacientes com este sinal têm taxa de óbito de 16.974%. Este é um sinal de alarme que requer ATENÇÃO IMEDIATA e reavaliação médica urgente.,SINAN/DATASUS 2025 + Protocolo MS,"{""sinal"": ""ac\u00famulo de l\u00edquidos"", ""frequencia_casos_graves"": 10.5, ""frequencia_geral"": 0.1, ""taxa_obito_associada"": 16.974}"
sinais_gravidade,pulso fraco ou ausente,O que significa pulso fraco ou ausente como sinal de gravidade?,PULSO FRACO OU AUSENTE: Indica choque. Presente em 24.4% dos casos que evoluíram para óbito. Este é um SINAL DE GRAVIDADE que indica DENGUE GRAVE (Grupo D) e requer INTERNAÇÃO IMEDIATA em UTI ou unidade de emergência.,SINAN/DATASUS 2025 + Protocolo MS,"{""sinal"": ""pulso fraco ou ausente"", ""frequencia_obitos"": 24.4, ""classificacao"": ""GRUPO D - DENGUE GRAVE""}"
sinais_gravidade,convulsões,O que significa convulsões como sinal de gravidade?,CONVULSÕES: Comprometimento neurológico. Presente em 11.3% dos casos que evoluíram para óbito. Este é um SINAL DE GRAVIDADE que indica DENGUE GRAVE (Grupo D) e requer INTERNAÇÃO IMEDIATA em UTI ou unidade de emergência.,SINAN/DATASUS 2025 + Protocolo MS,"{""sinal"": ""convuls\u00f5es"", ""frequencia_obitos"": 11.3, ""classificacao"": ""GRUPO D - DENGUE GRAVE""}"
sinais_gravidade,enchimento capilar lento,O que significa enchimento capilar lento como sinal de gravidade?,ENCHIMENTO CAPILAR LENTO: Maior que 2 segundos. Presente em 17.7% dos casos que evoluíram para óbito. Este é um SINAL DE GRAVIDADE que indica DENGUE GRAVE (Grupo D) e requer INTERNAÇÃO IMEDIATA em UTI ou unidade de emergência.,SINAN/DATASUS 2025 + Protocolo MS,"{""sinal"": ""enchimento capilar lento"", ""frequencia_obitos"": 17.7, ""classificacao"": ""GRUPO D - DENGUE GRAVE""}"
sinais_gravidade,insuficiência respiratória,O que significa insuficiência respiratória como sinal de gravidade?,INSUFICIÊNCIA RESPIRATÓRIA: Desconforto respiratório grave. Presente em 19.3% dos casos que evoluíram para óbito. Este é um SINAL DE GRAVIDADE que indica DENGUE GRAVE (Grupo D) e requer INTERNAÇÃO IMEDIATA em UTI ou unidade de emergência.,SINAN/DATASUS 2025 + Protocolo MS,"{""sinal"": ""insufici\u00eancia respirat\u00f3ria"", ""frequencia_obitos"": 19.3, ""classificacao"": ""GRUPO D - DENGUE GRAVE""}"
sinais_gravidade,taquicardia,O que significa taquicardia como sinal de gravidade?,TAQUICARDIA: Frequência cardíaca elevada. Presente em 28.7% dos casos que evoluíram para óbito. Este é um SINAL DE GRAVIDADE que indica DENGUE GRAVE (Grupo D) e requer INTERNAÇÃO IMEDIATA em UTI ou unidade de emergência.,SINAN/DATASUS 2025 + Protocolo MS,"{""sinal"": ""taquicardia"", ""frequencia_obitos"": 28.7, ""classificacao"": ""GRUPO D - DENGUE GRAVE""}"
sinais_gravidade,extremidades frias,O que significa extremidades frias como sinal de gravidade?,EXTREMIDADES FRIAS: Hipoperfusão periférica. Presente em 33.5% dos casos que evoluíram para óbito. Este é um SINAL DE GRAVIDADE que indica DENGUE GRAVE (Grupo D) e requer INTERNAÇÃO IMEDIATA em UTI ou unidade de emergência.,SINAN/DATASUS 2025 + Protocolo MS,"{""sinal"": ""extremidades frias"", ""frequencia_obitos"": 33.5, ""classificacao"": ""GRUPO D - DENGUE GRAVE""}"
sinais_gravidade,hipotensão arterial,O que significa hipotensão arterial como sinal de gravidade?,HIPOTENSÃO ARTERIAL: Pressão arterial baixa. Presente em 25.0% dos casos que evoluíram para óbito. Este é um SINAL DE GRAVIDADE que indica DENGUE GRAVE (Grupo D) e requer INTERNAÇÃO IMEDIATA em UTI ou unidade de emergência.,SINAN/DATASUS 2025 + Protocolo MS,"{""sinal"": ""hipotens\u00e3o arterial"", ""frequencia_obitos"": 25.0, ""classificacao"": ""GRUPO D - DENGUE GRAVE""}"
sinais_gravidade,hematócrito elevado,O que significa hematócrito elevado como sinal de gravidade?,HEMATÓCRITO ELEVADO: Hemoconcentração grave. Presente em 7.5% dos casos que evoluíram para óbito. Este é um SINAL DE GRAVIDADE que indica DENGUE GRAVE (Grupo D) e requer INTERNAÇÃO IMEDIATA em UTI ou unidade de emergência.,SINAN/DATASUS 2025 + Protocolo MS,"{""sinal"": ""hemat\u00f3crito elevado"", ""frequencia_obitos"": 7.5, ""classificacao"": ""GRUPO D - DENGUE GRAVE""}"
sinais_gravidade,melena,O que significa melena como sinal de gravidade?,MELENA: Sangue nas fezes. Presente em 7.1% dos casos que evoluíram para óbito. Este é um SINAL DE GRAVIDADE que indica DENGUE GRAVE (Grupo D) e requer INTERNAÇÃO IMEDIATA em UTI ou unidade de emergência.,SINAN/DATASUS 2025 + Protocolo MS,"{""sinal"": ""melena"", ""frequencia_obitos"": 7.1, ""classificacao"": ""GRUPO D - DENGUE GRAVE""}"
sinais_gravidade,sangramento grave,O que significa sangramento grave como sinal de gravidade?,SANGRAMENTO GRAVE: Hemorragia importante. Presente em 2.3% dos casos que evoluíram para óbito. Este é um SINAL DE GRAVIDADE que indica DENGUE GRAVE (Grupo D) e requer INTERNAÇÃO IMEDIATA em UTI ou unidade de emergência.,SINAN/DATASUS 2025 + Protocolo MS,"{""sinal"": ""sangramento grave"", ""frequencia_obitos"": 2.3, ""classificacao"": ""GRUPO D - DENGUE GRAVE""}"
sinais_gravidade,alteração de consciência,O que significa alteração de consciência como sinal de gravidade?,"ALTERAÇÃO DE CONSCIÊNCIA: Confusão, torpor ou coma. Presente em 33.8% dos casos que evoluíram para óbito. Este é um SINAL DE GRAVIDADE que indica DENGUE GRAVE (Grupo D) e requer INTERNAÇÃO IMEDIATA em UTI ou unidade de emergência.",SINAN/DATASUS 2025 + Protocolo MS,"{""sinal"": ""altera\u00e7\u00e3o de consci\u00eancia"", ""frequencia_obitos"": 33.8, ""classificacao"": ""GRUPO D - DENGUE GRAVE""}"
sinais_gravidade,comprometimento de órgãos,O que significa comprometimento de órgãos como sinal de gravidade?,COMPROMETIMENTO DE ÓRGÃOS: Falência orgânica. Presente em 15.7% dos casos que evoluíram para óbito. Este é um SINAL DE GRAVIDADE que indica DENGUE GRAVE (Grupo D) e requer INTERNAÇÃO IMEDIATA em UTI ou unidade de emergência.,SINAN/DATASUS 2025 + Protocolo MS,"{""sinal"": ""comprometimento de \u00f3rg\u00e3os"", ""frequencia_obitos"": 15.7, ""classificacao"": ""GRUPO D - DENGUE GRAVE""}"
sintomas,febre,Qual a relevância de febre na dengue?,"FEBRE: Presente em 82.8% de todos os casos e em 74.6% dos casos graves. A presença isolada deste sintoma não indica gravidade, mas deve ser monitorada junto com outros sinais.",SINAN/DATASUS 2025,"{""sintoma"": ""febre"", ""frequencia_geral"": 82.8, ""frequencia_graves"": 74.6}"
sintomas,dor muscular (mialgia),Qual a relevância de dor muscular (mialgia) na dengue?,"DOR MUSCULAR (MIALGIA): Presente em 77.3% de todos os casos e em 71.5% dos casos graves. A presença isolada deste sintoma não indica gravidade, mas deve ser monitorada junto com outros sinais.",SINAN/DATASUS 2025,"{""sintoma"": ""dor muscular (mialgia)"", ""frequencia_geral"": 77.3, ""frequencia_graves"": 71.5}"
sintomas,cefaleia (dor de cabeça),Qual a relevância de cefaleia (dor de cabeça) na dengue?,"CEFALEIA (DOR DE CABEÇA): Presente em 77.4% de todos os casos e em 53.5% dos casos graves. A presença isolada deste sintoma não indica gravidade, mas deve ser monitorada junto com outros sinais.",SINAN/DATASUS 2025,"{""sintoma"": ""cefaleia (dor de cabe\u00e7a)"", ""frequencia_geral"": 77.4, ""frequencia_graves"": 53.5}"
sintomas,exantema (manchas na pele),Qual a relevância de exantema (manchas na pele) na dengue?,"EXANTEMA (MANCHAS NA PELE): Presente em 10.1% de todos os casos e em 7.9% dos casos graves. A presença isolada deste sintoma não indica gravidade, mas deve ser monitorada junto com outros sinais.",SINAN/DATASUS 2025,"{""sintoma"": ""exantema (manchas na pele)"", ""frequencia_geral"": 10.1, ""frequencia_graves"": 7.9}"
sintomas,vômito,Qual a relevância de vômito na dengue?,"VÔMITO: Presente em 25.8% de todos os casos e em 41.1% dos casos graves. A presença isolada deste sintoma não indica gravidade, mas deve ser monitorada junto com outros sinais.",SINAN/DATASUS 2025,"{""sintoma"": ""v\u00f4mito"", ""frequencia_geral"": 25.8, ""frequencia_graves"": 41.1}"
sintomas,náusea,Qual a relevância de náusea na dengue?,"NÁUSEA: Presente em 41.4% de todos os casos e em 44.8% dos casos graves. A presença isolada deste sintoma não indica gravidade, mas deve ser monitorada junto com outros sinais.",SINAN/DATASUS 2025,"{""sintoma"": ""n\u00e1usea"", ""frequencia_geral"": 41.4, ""frequencia_graves"": 44.8}"
sintomas,dor nas costas,Qual a relevância de dor nas costas na dengue?,"DOR NAS COSTAS: Presente em 29.4% de todos os casos e em 21.9% dos casos graves. A presença isolada deste sintoma não indica gravidade, mas deve ser monitorada junto com outros sinais.",SINAN/DATASUS 2025,"{""sintoma"": ""dor nas costas"", ""frequencia_geral"": 29.4, ""frequencia_graves"": 21.9}"
sintomas,conjuntivite,Qual a relevância de conjuntivite na dengue?,"CONJUNTIVITE: Presente em 3.6% de todos os casos e em 2.1% dos casos graves. A presença isolada deste sintoma não indica gravidade, mas deve ser monitorada junto com outros sinais.",SINAN/DATASUS 2025,"{""sintoma"": ""conjuntivite"", ""frequencia_geral"": 3.6, ""frequencia_graves"": 2.1}"
sintomas,artrite,Qual a relevância de artrite na dengue?,"ARTRITE: Presente em 9.5% de todos os casos e em 6.4% dos casos graves. A presença isolada deste sintoma não indica gravidade, mas deve ser monitorada junto com outros sinais.",SINAN/DATASUS 2025,"{""sintoma"": ""artrite"", ""frequencia_geral"": 9.5, ""frequencia_graves"": 6.4}"
sintomas,artralgia (dor nas articulações),Qual a relevância de artralgia (dor nas articulações) na dengue?,"ARTRALGIA (DOR NAS ARTICULAÇÕES): Presente em 17.3% de todos os casos e em 15.9% dos casos graves. A presença isolada deste sintoma não indica gravidade, mas deve ser monitorada junto com outros sinais.",SINAN/DATASUS 2025,"{""sintoma"": ""artralgia (dor nas articula\u00e7\u00f5es)"", ""frequencia_geral"": 17.3, ""frequencia_graves"": 15.9}"
sintomas,dor retro-orbital,Qual a relevância de dor retro-orbital na dengue?,"DOR RETRO-ORBITAL: Presente em 30.7% de todos os casos e em 15.9% dos casos graves. A presença isolada deste sintoma não indica gravidade, mas deve ser monitorada junto com outros sinais.",SINAN/DATASUS 2025,"{""sintoma"": ""dor retro-orbital"", ""frequencia_geral"": 30.7, ""frequencia_graves"": 15.9}"
comorbidades,diabetes mellitus,Qual o impacto de diabetes mellitus na evolução da dengue?,Pacientes com DIABETES MELLITUS têm taxa de óbito de 0.563% (vs 0.072% sem a comorbidade). Taxa de hospitalização: 7.60%. Risco relativo de óbito: 7.8x. Pacientes com esta comorbidade devem ser classificados como GRUPO B ou superior.,SINAN/DATASUS 2025,"{""comorbidade"": ""diabetes mellitus"", ""n_casos"": 459619, ""taxa_obito"": 0.563, ""taxa_hospitalizacao"": 7.6, ""risco_relativo"": 7.8}"
comorbidades,doença hematológica,Qual o impacto de doença hematológica na evolução da dengue?,Pacientes com DOENÇA HEMATOLÓGICA têm taxa de óbito de 0.692% (vs 0.090% sem a comorbidade). Taxa de hospitalização: 7.98%. Risco relativo de óbito: 7.7x. Pacientes com esta comorbidade devem ser classificados como GRUPO B ou superior.,SINAN/DATASUS 2025,"{""comorbidade"": ""doen\u00e7a hematol\u00f3gica"", ""n_casos"": 59270, ""taxa_obito"": 0.692, ""taxa_hospitalizacao"": 7.98, ""risco_relativo"": 7.7}"
comorbidades,hepatopatia,Qual o impacto de hepatopatia na evolução da dengue?,Pacientes com HEPATOPATIA têm taxa de óbito de 0.423% (vs 0.091% sem a comorbidade). Taxa de hospitalização: 6.81%. Risco relativo de óbito: 4.6x. Pacientes com esta comorbidade devem ser classificados como GRUPO B ou superior.,SINAN/DATASUS 2025,"{""comorbidade"": ""hepatopatia"", ""n_casos"": 58447, ""taxa_obito"": 0.423, ""taxa_hospitalizacao"": 6.81, ""risco_relativo"": 4.6}"
comorbidades,doença renal crônica,Qual o impacto de doença renal crônica na evolução da dengue?,Pacientes com DOENÇA RENAL CRÔNICA têm taxa de óbito de 1.363% (vs 0.087% sem a comorbidade). Taxa de hospitalização: 11.50%. Risco relativo de óbito: 15.8x. Pacientes com esta comorbidade devem ser classificados como GRUPO B ou superior.,SINAN/DATASUS 2025,"{""comorbidade"": ""doen\u00e7a renal cr\u00f4nica"", ""n_casos"": 54514, ""taxa_obito"": 1.363, ""taxa_hospitalizacao"": 11.5, ""risco_relativo"": 15.8}"
comorbidades,hipertensão arterial,Qual o impacto de hipertensão arterial na evolução da dengue?,Pacientes com HIPERTENSÃO ARTERIAL têm taxa de óbito de 0.451% (vs 0.055% sem a comorbidade). Taxa de hospitalização: 6.59%. Risco relativo de óbito: 8.2x. Pacientes com esta comorbidade devem ser classificados como GRUPO B ou superior.,SINAN/DATASUS 2025,"{""comorbidade"": ""hipertens\u00e3o arterial"", ""n_casos"": 1055160, ""taxa_obito"": 0.451, ""taxa_hospitalizacao"": 6.59, ""risco_relativo"": 8.2}"
comorbidades,doença ácido-péptica,Qual o impacto de doença ácido-péptica na evolução da dengue?,Pacientes com DOENÇA ÁCIDO-PÉPTICA têm taxa de óbito de 0.135% (vs 0.093% sem a comorbidade). Taxa de hospitalização: 3.95%. Risco relativo de óbito: 1.5x. Pacientes com esta comorbidade devem ser classificados como GRUPO B ou superior.,SINAN/DATASUS 2025,"{""comorbidade"": ""doen\u00e7a \u00e1cido-p\u00e9ptica"", ""n_casos"": 58315, ""taxa_obito"": 0.135, ""taxa_hospitalizacao"": 3.95, ""risco_relativo"": 1.5}"
comorbidades,doença autoimune,Qual o impacto de doença autoimune na evolução da dengue?,Pacientes com DOENÇA AUTOIMUNE têm taxa de óbito de 0.473% (vs 0.090% sem a comorbidade). Taxa de hospitalização: 7.59%. Risco relativo de óbito: 5.2x. Pacientes com esta comorbidade devem ser classificados como GRUPO B ou superior.,SINAN/DATASUS 2025,"{""comorbidade"": ""doen\u00e7a autoimune"", ""n_casos"": 73435, ""taxa_obito"": 0.473, ""taxa_hospitalizacao"": 7.59, ""risco_relativo"": 5.2}"
conduta,grupo_a,Qual a conduta para paciente Grupo A (dengue sem sinais de alarme)?,"GRUPO A - DENGUE SEM SINAIS DE ALARME: Atendimento ambulatorial. Hidratação oral: 60-80ml/kg/dia (1/3 soro de reidratação + 2/3 líquidos). Sintomáticos: Paracetamol ou Dipirona. NÃO usar AAS, Ibuprofeno ou outros AINEs. Retorno em 24-48h ou imediatamente se sinais de alarme. Orientar paciente sobre sinais de alarme.",Protocolo MS 2024,"{""grupo"": ""A"", ""local"": ""ambulatorial"", ""internacao"": false}"
conduta,grupo_b,Qual a conduta para paciente Grupo B (condições especiais)?,"GRUPO B - CONDIÇÕES ESPECIAIS (gestantes, idosos >65, crianças <2, comorbidades): Unidade com leito de observação. Hidratação oral supervisionada: 80ml/kg/dia. Hemograma com plaquetas obrigatório. Reavaliação diária até 48h após febre. Orientar sinais de alarme para retorno imediato.",Protocolo MS 2024,"{""grupo"": ""B"", ""local"": ""observa\u00e7\u00e3o"", ""internacao"": false}"
conduta,grupo_c,Qual a conduta para paciente Grupo C (dengue com sinais de alarme)?,"GRUPO C - DENGUE COM SINAIS DE ALARME: URGÊNCIA - Atendimento em até 30 minutos. Internação em leito de observação ou enfermaria. Hidratação IV: 10ml/kg/hora nas primeiras 2h, depois reavaliar. Hematócrito a cada 2-4h. Monitorização contínua. Preparar para transferência se necessário.",Protocolo MS 2024,"{""grupo"": ""C"", ""local"": ""interna\u00e7\u00e3o"", ""internacao"": true}"
conduta,grupo_d,Qual a conduta para paciente Grupo D (dengue grave)?,"GRUPO D - DENGUE GRAVE: EMERGÊNCIA - Atendimento IMEDIATO. UTI ou sala de emergência. Acesso venoso calibroso. Reposição volêmica: 20ml/kg em 20 min, repetir até 3x se necessário. Hemograma, função renal/hepática, coagulograma. Avaliar hemoderivados. Monitorização contínua. Suporte avançado de vida.",Protocolo MS 2024,"{""grupo"": ""D"", ""local"": ""UTI/emerg\u00eancia"", ""internacao"": true}"
periodo_critico,evolucao_temporal,Qual o período crítico da dengue?,"O PERÍODO CRÍTICO da dengue ocorre entre o 3º e 7º dia de doença, geralmente quando a febre começa a ceder. Neste período há maior risco de evolução para formas graves. Pacientes devem ser orientados a procurar atendimento IMEDIATAMENTE se apresentarem: vômitos persistentes, dor abdominal intensa, sangramento, tontura, sonolência excessiva.",Protocolo MS 2024,"{""periodo_inicio"": 3, ""periodo_fim"": 7, ""momento"": ""defervesc\u00eancia""}"
hidratacao,oral_adulto,Como calcular hidratação oral para adulto com dengue?,"HIDRATAÇÃO ORAL ADULTO: 60-80ml/kg/dia. Para adulto de 70kg: 4.200 a 5.600ml/dia. Distribuir: 1/3 soro de reidratação oral (SRO) + 2/3 líquidos (água, sucos, água de coco). Oferecer líquidos frequentemente, mesmo sem sede. Evitar refrigerantes e bebidas muito açucaradas.",Protocolo MS 2024,"{""tipo"": ""oral"", ""volume_kg"": ""60-80ml/kg/dia""}"
hidratacao,venosa_alarme,Como fazer hidratação venosa em dengue com sinais de alarme?,HIDRATAÇÃO VENOSA - SINAIS DE ALARME: Iniciar com 10ml/kg/hora de SF 0.9% ou Ringer Lactato nas primeiras 2 horas. Reavaliar hematócrito e sinais vitais. Se melhora: reduzir para 5-7ml/kg/h por 2-4h. Se piora ou sem melhora: aumentar para 15-20ml/kg/h e reavaliar.,Protocolo MS 2024,"{""tipo"": ""venosa"", ""fase_inicial"": ""10ml/kg/h""}"
hidratacao,venosa_grave,Como fazer hidratação venosa em dengue grave?,"HIDRATAÇÃO VENOSA - DENGUE GRAVE: Expansão volêmica rápida: 20ml/kg em 20 minutos com SF 0.9% ou Ringer. Repetir até 3 vezes se necessário. Após estabilização: manter 10ml/kg/h. Monitorar: diurese (mínimo 0.5ml/kg/h), sinais vitais, hematócrito seriado. Considerar coloides se sem resposta.",Protocolo MS 2024,"{""tipo"": ""venosa_emergencia"", ""expansao"": ""20ml/kg em 20min""}"
medicamentos,contraindicados,Quais medicamentos são contraindicados na dengue?,"MEDICAMENTOS CONTRAINDICADOS NA DENGUE: AAS (Aspirina), Ibuprofeno, Diclofenaco, Nimesulida e outros AINEs. Estes medicamentos aumentam o risco de sangramento por inibirem a função plaquetária. Também contraindicados: corticoides (exceto em casos específicos) e anticoagulantes (avaliar risco-benefício).",Protocolo MS 2024,"{""contraindicados"": [""AAS"", ""Ibuprofeno"", ""Diclofenaco"", ""Nimesulida"", ""AINEs""]}"
medicamentos,permitidos,Quais medicamentos podem ser usados na dengue?,MEDICAMENTOS PERMITIDOS NA DENGUE: Para febre e dor: Paracetamol (500-750mg a cada 6h) ou Dipirona (500-1000mg a cada 6h). Para náuseas: Metoclopramida ou Bromoprida. Para prurido: Anti-histamínicos. Manter hidratação como principal tratamento.,Protocolo MS 2024,"{""permitidos"": [""Paracetamol"", ""Dipirona"", ""Metoclopramida"", ""Anti-histam\u00ednicos""]}"
exames,hemograma,Como interpretar hemograma na dengue?,HEMOGRAMA NA DENGUE: Plaquetas <100.000/mm³ indica trombocitopenia importante. Hematócrito elevado (>20% do basal ou >45% em homens/>40% em mulheres) indica hemoconcentração. Leucopenia é comum. Monitorar hematócrito seriado para detectar hemoconcentração precoce.,Protocolo MS 2024,"{""plaquetas_alarme"": 100000, ""hematocrito_alarme_h"": 45, ""hematocrito_alarme_m"": 40}"
exames,quando_solicitar,Quando solicitar exames na dengue?,"EXAMES NA DENGUE: Grupo A: hemograma a critério clínico. Grupo B: hemograma obrigatório. Grupo C: hemograma + hematócrito seriado (2-4h). Grupo D: hemograma, hematócrito seriado, função renal, função hepática, coagulograma, gasometria.",Protocolo MS 2024,"{""grupo_a"": ""opcional"", ""grupo_b"": ""obrigat\u00f3rio"", ""grupo_c"": ""seriado"", ""grupo_d"": ""completo""}"
